instance,parent,issue_type,dead_names,missing_slots,visual_tier,sibling_group,lookdev_note
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_AtlasFlowersA,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_AtlasFlowersA.MI_AtlasFlowersA,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_AtlasIvy,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_AtlasIvy.MI_AtlasIvy,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_AtlasLeafA,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_AtlasLeafA.MI_AtlasLeafA,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_AtlasLeafB,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_AtlasLeafB.MI_AtlasLeafB,DEAD-OVERRIDE,RefractionDepthBias,,MID,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_AtlasPaintPatternsA,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_AtlasPaintPatternsA.MI_AtlasPaintPatternsA,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_AtlasTreeA,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_AtlasTreeA.MI_AtlasTreeA,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_BrickStoneCleanA,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_BrickStoneCleanA.MI_BrickStoneCleanA,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_BrickStoneCleanB,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_BrickStoneCleanB.MI_BrickStoneCleanB,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_BrickStoneCleanBeigeA,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_BrickStoneCleanBeigeA.MI_BrickStoneCleanBeigeA,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Architecture/Atlantis/MI_Arch_KB3D_ATL_BrickStoneCleanBlueA,/Game/EnvSandbox/Materials/Instances/Atlantis/MI_BrickStoneCleanBlueA.MI_BrickStoneCleanBlueA,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
