name,ra_deg,dec_deg,mag
Sirius,101.287,-16.716,-1.46
Canopus,95.988,-52.696,-0.74
Arcturus,213.915,19.182,-0.05
Vega,279.235,38.784,0.03
Capella,79.172,45.998,0.08
Rigel,78.634,-8.202,0.13
Procyon,114.825,5.225,0.34
Betelgeuse,88.793,7.407,0.42
Altair,297.695,8.868,0.76
Aldebaran,68.98,16.509,0.85
Spica,201.298,-11.161,0.97
Antares,247.352,-26.432,1.06
Pollux,116.329,28.026,1.14
Fomalhaut,344.413,-29.622,1.16
Deneb,310.358,45.28,1.25
Regulus,152.093,11.967,1.35
Castor,113.65,31.888,1.58
Bellatrix,81.283,6.35,1.64
Elnath,81.573,28.607,1.65
Miaplacidus,138.3,-69.717,1.67
